"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"32011 ALEGRE";156170;156776;157348;157909;158458;158996;159517;160017;160533;161055;161571;162165;162764;163368;163981;164601;165196;165785;166386;166978;167558;168127
"32012 CACHOEIRO DE ITAPEMIRIM";318801;321203;323474;325699;327885;330016;332078;334070;336112;338188;340239;342603;344975;347364;349798;352261;354623;356959;359348;361697;364000;366259
"32013 ITAPEMIRIM";69979;70787;71553;72301;73038;73755;74449;75120;75806;76506;77196;77992;78791;79595;80414;81244;82040;82826;83628;84421;85197;85957
"52001 SAO MIGUEL DO ARAGUAIA";76348;76535;76719;76902;77080;77256;77430;77595;77759;77922;78082;78265;78447;78629;78813;78999;79181;79354;79533;79706;79876;80043
"52002 RIO VERMELHO";94250;93793;93335;92884;92445;92012;91587;91181;90775;90374;89980;89529;89080;88635;88180;87718;87278;86843;86408;85981;85562;85151
"52003 ARAGARCAS";55188;55322;55458;55591;55722;55849;55974;56096;56215;56333;56450;56582;56716;56845;56982;57118;57251;57376;57505;57633;57756;57877
"52004 PORANGATU";232770;233072;233376;233673;233965;234249;234530;234799;235068;235332;235593;235891;236188;236483;236783;237087;237380;237667;237954;238236;238514;238783
"52005 CHAPADA DOS VEADEIROS";57558;58228;58898;59557;60202;60837;61459;62057;62648;63232;63811;64472;65129;65781;66449;67122;67768;68403;69042;69670;70283;70882
"52006 CERES";218380;220207;222023;223820;225573;227298;228992;230620;232227;233824;235394;237191;238980;240754;242565;244400;246164;247890;249629;251333;253002;254637
"52007 ANAPOLIS";478040;485753;493439;501021;508433;515734;522887;529753;536557;543304;549939;557533;565094;572596;580249;588004;595456;602748;610093;617296;624354;631253
"52008 IPORA";64084;63662;63240;62826;62420;62021;61629;61253;60883;60513;60149;59733;59321;58909;58489;58066;57659;57260;56856;56463;56077;55699
"52009 ANICUNS";104714;105440;106165;106881;107580;108268;108942;109590;110230;110868;111493;112209;112922;113632;114351;115083;115784;116473;117165;117842;118510;119157
"52010 GOIANIA";1740487;1784948;1829236;1872955;1915672;1957723;1998975;2038557;2077759;2116659;2154880;2198629;2242210;2285465;2329566;2374263;2417222;2459232;2501569;2543103;2583769;2623532
"52011 VAO DO PARANA";94515;96094;97669;99224;100740;102235;103702;105107;106500;107884;109242;110797;112346;113884;115450;117039;118567;120058;121564;123040;124483;125896
"52012 ENTORNO DE BRASILIA";836211;861220;886133;910722;934748;958398;981602;1003867;1025913;1047799;1069298;1093906;1118421;1142748;1167555;1192694;1216858;1240489;1264306;1287664;1310540;1332904
"52013 SUDOESTE DE GOIAS";353885;364672;375424;386036;396405;406611;416622;426228;435743;445186;454462;465082;475658;486158;496858;507709;518134;528329;538609;548686;558558;568208
"52014 VALE DO RIO DOS BOIS";104244;105462;106678;107877;109045;110200;111331;112415;113491;114557;115605;116804;117998;119184;120393;121620;122798;123948;125111;126249;127364;128454
"52015 MEIA PONTE";323023;327826;332606;337326;341939;346481;350935;355212;359444;363644;367772;372496;377204;381875;386634;391461;396101;400640;405210;409694;414089;418379
"52016 PIRES DO RIO";88589;89264;89935;90598;91244;91884;92509;93110;93703;94293;94873;95535;96197;96853;97523;98199;98852;99486;100129;100760;101376;101979
"52017 CATALAO";121535;124582;127617;130614;133539;136423;139250;141961;144646;147313;149932;152929;155916;158881;161903;164966;167910;170788;173690;176535;179322;182048
"52018 QUIRINOPOLIS";96085;97879;99666;101428;103151;104848;106513;108110;109691;111260;112802;114566;116325;118071;119848;121654;123384;125080;126788;128463;130105;131707
"21001 LITORAL OCIDENTAL MARANHENSE";178594;179547;180429;181389;182364;183320;184265;185160;186025;186815;187553;188026;188452;188836;189236;189655;190054;190452;190870;191282;191685;192082
"21002 AGLOMERACAO URBANA DE SAO LUIS";1105640;1130212;1152936;1177651;1202737;1227373;1251751;1274840;1297073;1317479;1336452;1348653;1359634;1369484;1379804;1390604;1400851;1411157;1421946;1432529;1442927;1453128
"21003 ROSARIO";134718;138010;141051;144361;147721;151018;154285;157376;160353;163085;165627;167260;168729;170049;171433;172878;174250;175630;177073;178491;179884;181249
"21004 LENCOIS MARANHENSES";138269;142706;146811;151273;155802;160253;164654;168823;172839;176524;179950;182153;184136;185916;187779;189729;191579;193440;195389;197301;199178;201020
"21005 BAIXADA MARANHENSE";494983;503220;510840;519123;527534;535794;543969;551706;559161;566001;572363;576453;580136;583437;586899;590519;593955;597409;601025;604575;608061;611477
"21006 ITAPECURU MIRIM";163429;168892;173944;179440;185016;190494;195915;201048;205990;210527;214745;217458;219899;222091;224384;226785;229063;231354;233753;236106;238418;240687
"21007 GURUPI";188416;192442;196167;200215;204324;208362;212356;216138;219781;223124;226233;228233;230030;231643;233336;235104;236786;238473;240239;241976;243679;245350
"21008 PINDARE";567441;574857;581710;589169;596739;604176;611529;618497;625207;631367;637091;640774;644084;647057;650171;653432;656524;659633;662890;666083;669222;672299
"21009 IMPERATRIZ";526734;532258;537363;542917;548556;554092;559571;564761;569758;574342;578607;581347;583816;586031;588350;590777;593081;595395;597823;600199;602537;604830
"21010 MEDIO MEARIM";410178;411217;412174;413223;414281;415320;416354;417326;418266;419128;419930;420447;420908;421327;421761;422217;422653;423086;423542;423990;424432;424862
"21011 ALTO MEARIM E GRAJAU";273670;278380;282734;287469;292279;296999;301672;306097;310355;314265;317903;320240;322343;324230;326213;328280;330245;332220;334288;336315;338308;340262
"21012 PRESIDENTE DUTRA";184037;185201;186279;187450;188640;189807;190965;192056;193111;194079;194979;195556;196079;196544;197034;197545;198031;198520;199032;199535;200027;200510
"21013 BAIXO PARNAIBA MARANHENSE";113133;115632;117943;120457;123006;125512;127991;130338;132598;134674;136602;137842;138960;139963;141009;142110;143153;144199;145296;146372;147430;148467
"21014 CHAPADINHA";192381;196339;199999;203978;208018;211986;215913;219631;223210;226497;229555;231519;233286;234873;236535;238277;239924;241586;243323;245029;246702;248345
