"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31021 FRUTAL";-;-;-;-;1;1;-;1;-;-;-;-;1;-;2;1;-;3;1;1;-;1;1;14
"31022 UBERABA";-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;1;2;1;4;-;1;13
"31023 ARAXA";-;-;1;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;4;1;1;1;-;12
"31024 TRES MARIAS";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"31025 CURVELO";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;4
"31026 BOM DESPACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"31027 SETE LAGOAS";-;-;-;1;1;-;-;-;-;1;-;-;-;2;1;2;1;-;-;-;1;1;1;12
"31028 CONCEICAO DO MATO DENTRO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"31029 PARA DE MINAS";1;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;2;-;-;-;1;-;8
"31030 BELO HORIZONTE";-;1;1;1;-;1;-;1;6;2;2;6;8;8;6;3;6;5;4;4;3;4;2;74
"31031 ITABIRA";4;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;1;3;3;1;1;-;-;18
"31032 ITAGUARA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;5
"31033 OURO PRETO";-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;4
"31034 CONSELHEIRO LAFAIETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31035 GUANHAES";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;-;-;-;-;-;6
"31036 PECANHA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31037 GOVERNADOR VALADARES";-;-;-;-;1;3;1;-;-;1;-;-;-;-;3;-;1;-;1;-;-;-;2;13
"31038 MANTENA";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31039 IPATINGA";1;1;4;-;-;1;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"31040 CARATINGA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;2;1;3;-;10
"31041 AIMORES";1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;5
"31042 PIUI";-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;1;-;1;7
"31043 DIVINOPOLIS";-;-;2;2;-;-;-;2;1;-;-;3;-;1;1;2;-;-;1;1;1;1;-;18
"31044 FORMIGA";-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;10
"31045 CAMPO BELO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"31046 OLIVEIRA";-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;1;-;-;5
"31047 PASSOS";3;1;-;1;-;-;1;-;1;1;-;-;1;1;-;-;-;1;2;1;-;3;2;19
"31048 SAO SEBASTIAO DO PARAISO";-;-;1;1;1;1;-;2;-;1;-;-;-;-;1;2;-;4;-;-;1;-;-;15
"31049 ALFENAS";1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;3;-;4;2;1;1;16
"31050 VARGINHA";-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;4;-;13
"31051 POCOS DE CALDAS";-;1;1;-;-;-;-;-;-;-;1;1;-;1;1;4;3;-;2;-;-;1;-;16
"31052 POUSO ALEGRE";1;-;-;-;-;-;-;-;11;-;-;-;1;-;-;-;-;-;1;1;-;3;-;18
"31053 SANTA RITA DO SAPUCAI";1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;5
"31054 SAO LOURENCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"31055 ANDRELANDIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3
"31056 ITAJUBA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;4
"31057 LAVRAS";-;-;1;1;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;11
"31059 BARBACENA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31060 PONTE NOVA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;5
"31061 MANHUACU";-;-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;2;1;3;1;-;-;1;13
"31062 VICOSA";-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31063 MURIAE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;2;-;1;-;9
"31064 UBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;4
"31065 JUIZ DE FORA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"31066 CATAGUASES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;3
"Ignorado - MG";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"50001 BAIXO PANTANAL";-;-;-;-;-;1;-;1;-;-;-;2;1;-;-;-;1;-;-;-;-;-;4;10
