"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"Ignorado - ES";-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"52001 SAO MIGUEL DO ARAGUAIA";-;-;1;-;3;4;-;1;1;1;-;-;-;2;-;1;3;-;1;-;-;-;1;19
"52002 RIO VERMELHO";-;2;1;-;-;1;1;-;1;-;1;-;1;-;2;-;1;1;2;2;-;1;-;17
"52003 ARAGARCAS";-;-;-;-;-;1;-;1;-;1;-;-;-;-;4;2;-;-;-;-;-;-;1;10
"52004 PORANGATU";1;2;1;6;-;4;-;1;2;-;1;5;2;2;2;4;-;-;2;4;6;-;-;45
"52005 CHAPADA DOS VEADEIROS";-;1;2;3;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;1;-;11
"52006 CERES";-;1;2;-;7;3;2;5;-;-;3;1;1;4;-;2;4;5;3;3;2;1;3;52
"52007 ANAPOLIS";2;3;4;3;6;4;2;5;4;4;8;4;5;2;5;5;9;1;8;3;9;9;13;118
"52008 IPORA";-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;2;-;-;1;1;-;1;-;9
"52009 ANICUNS";-;-;1;-;1;1;-;1;-;-;1;-;2;-;1;-;1;1;1;-;-;-;1;12
"52010 GOIANIA";11;5;11;3;13;5;6;6;2;8;8;10;18;8;12;10;8;9;5;12;7;5;8;190
"52011 VAO DO PARANA";2;1;2;-;1;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;1;1;1;13
"52012 ENTORNO DE BRASILIA";4;4;3;3;3;1;6;4;4;2;3;5;5;4;6;6;6;7;11;6;5;5;5;108
"52013 SUDOESTE DE GOIAS";1;1;4;5;5;5;1;6;11;7;5;3;1;5;10;4;1;5;11;1;4;5;3;104
"52014 VALE DO RIO DOS BOIS";-;-;1;2;-;1;2;-;1;4;-;1;2;1;-;-;2;1;2;2;-;2;1;25
"52015 MEIA PONTE";1;3;1;2;3;5;4;3;1;5;6;3;-;4;4;3;4;4;4;4;8;2;3;77
"52016 PIRES DO RIO";-;-;1;-;1;7;-;-;2;2;-;1;1;-;1;4;2;-;2;-;3;-;2;29
"52017 CATALAO";1;-;-;-;-;-;-;-;-;2;1;-;-;1;3;2;-;-;-;-;2;-;2;14
"52018 QUIRINOPOLIS";1;-;-;-;1;1;1;1;1;1;1;-;-;-;1;1;-;3;-;-;-;1;1;15
"Ignorado - GO";-;-;-;-;-;-;1;1;-;1;-;12;-;1;2;1;3;-;-;1;-;2;-;25
"21001 LITORAL OCIDENTAL MARANHENSE";2;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;7
"21002 AGLOMERACAO URBANA DE SAO LUIS";1;1;1;-;1;-;2;-;5;1;2;6;2;2;-;-;27;3;2;-;1;2;2;61
"21003 ROSARIO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;7
"21004 LENCOIS MARANHENSES";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4
"21005 BAIXADA MARANHENSE";-;-;-;3;-;2;2;-;1;-;1;1;2;1;2;-;6;1;-;-;-;-;-;22
"21006 ITAPECURU MIRIM";-;-;-;1;3;2;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;9
"21007 GURUPI";1;-;1;1;1;4;-;2;1;1;2;1;2;-;-;-;2;1;-;-;-;-;-;20
"21008 PINDARE";2;-;2;2;4;-;-;4;-;1;3;2;1;1;2;2;5;1;1;2;5;2;3;45
"21009 IMPERATRIZ";-;-;1;-;7;13;3;2;1;1;1;2;7;4;5;3;4;1;4;4;2;3;4;72
"21010 MEDIO MEARIM";2;-;-;-;-;1;-;-;2;1;4;2;2;1;1;-;3;-;2;-;1;-;-;22
"21011 ALTO MEARIM E GRAJAU";-;1;-;1;-;1;-;1;-;2;3;1;1;-;2;3;3;-;1;1;-;-;1;22
"21012 PRESIDENTE DUTRA";-;-;-;-;3;1;2;-;-;-;1;1;-;-;1;-;-;-;-;-;-;1;1;11
"21013 BAIXO PARNAIBA MARANHENSE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
"21014 CHAPADINHA";-;-;2;-;-;-;-;1;-;-;1;-;1;-;-;1;1;1;-;1;-;1;-;10
"21015 CODO";-;1;-;2;3;1;2;2;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;15
"21016 COELHO NETO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"21017 CAXIAS";-;-;-;-;-;1;1;1;2;2;9;1;3;4;1;2;2;1;-;2;-;-;1;33
"21018 CHAPADAS DO ALTO ITAPECURU";1;-;-;-;-;-;-;1;3;2;1;1;-;1;1;2;4;3;1;-;-;-;-;21
"21019 PORTO FRANCO";-;5;-;-;-;1;-;-;1;1;-;1;-;1;1;-;-;1;3;-;-;-;-;15
"21020 GERAIS DE BALSAS";-;-;-;8;1;2;-;1;-;1;1;-;1;2;2;5;2;-;1;-;1;-;2;30
"21021 CHAPADAS DAS MANGABEIRAS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"Ignorado - MA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"31001 UNAI";-;-;2;2;-;4;-;1;-;-;-;-;3;3;4;1;2;-;1;2;-;1;1;27
"31002 PARACATU";-;-;-;-;-;3;1;1;1;1;1;1;1;-;-;1;1;-;-;1;3;1;4;21
"31003 JANUARIA";-;-;-;-;2;2;-;1;-;1;-;-;1;4;1;1;-;3;1;-;-;-;1;18
"31004 JANAUBA";-;-;-;1;3;2;1;1;1;2;-;2;-;-;1;1;-;2;-;-;1;2;-;20
"31005 SALINAS";-;-;-;1;-;-;-;-;-;1;1;-;3;4;-;-;-;1;1;3;2;3;-;20
"31006 PIRAPORA";-;-;1;-;1;1;-;-;1;-;-;1;1;1;1;-;-;-;1;-;2;1;3;15
"31007 MONTES CLAROS";-;-;-;2;-;3;-;-;-;1;2;1;1;2;1;1;4;-;1;3;-;2;2;26
"31008 GRAO MOGOL";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"31009 BOCAIUVA";-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;4
"31010 DIAMANTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;4
"31011 CAPELINHA";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;1;2;-;-;1;1;9
"31012 ARACUAI";-;-;-;1;5;-;1;-;4;-;-;2;-;-;2;-;1;-;3;-;-;-;-;19
"31013 PEDRA AZUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;1;5
"31014 ALMENARA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;4
"31015 TEOFILO OTONI";-;-;1;2;-;1;1;1;4;1;2;-;2;2;1;-;1;1;2;-;1;2;-;25
"31016 NANUQUE";-;-;-;1;1;-;-;-;-;1;-;1;-;1;-;1;3;1;1;-;-;-;1;12
"31017 ITUIUTABA";1;-;1;-;-;-;-;-;1;4;1;2;-;-;-;3;3;1;2;-;-;1;1;21
"31018 UBERLANDIA";2;5;1;1;8;3;4;9;7;7;4;12;6;6;7;5;6;5;3;6;4;2;4;117
"31019 PATROCINIO";-;-;2;-;3;1;-;-;1;-;3;3;2;1;1;2;3;4;2;2;-;1;2;33
"31020 PATOS DE MINAS";-;2;-;1;-;-;-;-;4;1;4;4;3;3;5;3;2;6;3;4;4;6;3;58
"31021 FRUTAL";1;2;-;3;1;-;3;-;2;1;1;3;1;1;2;-;4;5;1;4;2;3;2;42
"31022 UBERABA";4;1;1;1;1;1;1;1;2;1;-;2;3;2;-;1;2;3;1;2;5;3;-;38
"31023 ARAXA";3;-;1;-;1;1;-;1;1;4;4;5;1;4;1;2;4;3;2;3;1;4;1;47
"31024 TRES MARIAS";-;1;-;-;-;1;1;1;-;-;-;4;1;-;-;1;-;1;1;1;-;-;-;13
"31025 CURVELO";-;2;-;-;1;1;1;5;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;13
"31026 BOM DESPACHO";-;-;7;-;-;2;1;-;2;2;-;-;2;4;-;2;1;2;2;4;-;2;3;36
"31027 SETE LAGOAS";-;-;-;-;1;2;3;2;1;1;3;4;1;5;2;2;3;3;3;2;1;2;1;42
"31028 CONCEICAO DO MATO DENTRO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;2;6
"31029 PARA DE MINAS";-;-;3;1;2;-;4;1;-;-;-;3;2;1;1;2;-;1;-;3;1;-;2;27
"31030 BELO HORIZONTE";4;9;6;8;2;4;8;12;7;10;14;13;5;9;16;17;12;12;12;16;10;11;7;224
