"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31024 TRES MARIAS";2;4;5;5;8;5;3;10;11;20;14;4;4;6;5;2;3;1;2;3;1;-;3;121
"31025 CURVELO";-;10;2;7;1;8;4;12;23;23;14;15;8;4;8;3;1;2;3;2;1;1;2;154
"31026 BOM DESPACHO";4;8;17;13;22;21;29;26;15;19;10;10;12;17;14;16;8;2;-;1;-;8;2;274
"31027 SETE LAGOAS";9;12;8;12;15;14;18;21;31;17;32;25;12;14;8;2;9;4;3;5;2;1;7;281
"31028 CONCEICAO DO MATO DENTRO";1;2;2;2;1;3;2;1;2;3;3;7;1;2;-;-;2;2;-;4;8;6;4;58
"31029 PARA DE MINAS";9;7;3;2;9;16;10;9;16;6;6;4;16;12;7;4;2;4;3;1;3;4;1;154
"31030 BELO HORIZONTE";287;298;199;321;338;324;314;283;231;294;165;201;207;132;150;140;159;109;102;86;74;82;127;4623
"31031 ITABIRA";15;10;9;13;14;21;17;37;43;10;24;44;39;15;16;7;14;20;10;11;3;14;8;414
"31032 ITAGUARA";5;4;3;4;4;5;6;3;2;5;5;8;7;7;5;5;4;2;-;2;-;-;7;93
"31033 OURO PRETO";15;13;10;11;10;2;4;7;6;5;4;5;10;9;12;13;7;3;-;5;7;11;13;182
"31034 CONSELHEIRO LAFAIETE";9;5;5;6;4;6;6;12;11;13;16;14;10;7;7;9;5;14;23;3;6;16;9;216
"31035 GUANHAES";7;2;2;8;7;8;5;8;7;11;12;14;10;10;14;6;9;6;14;7;9;7;5;188
"31036 PECANHA";1;5;1;1;2;3;-;-;-;5;5;6;6;6;10;12;2;-;2;4;-;4;5;80
"31037 GOVERNADOR VALADARES";39;45;40;22;24;28;31;27;33;41;63;49;46;44;35;31;22;19;10;10;14;11;15;699
"31038 MANTENA";1;2;-;4;2;4;2;-;2;10;10;4;12;7;2;2;3;7;3;1;3;4;6;91
"31039 IPATINGA";17;23;15;28;32;27;29;26;27;22;27;57;46;51;45;36;41;34;16;18;20;26;16;679
"31040 CARATINGA";16;12;3;3;7;7;9;3;7;8;15;20;36;16;39;14;6;12;4;2;8;11;9;267
"31041 AIMORES";1;5;10;3;6;2;5;7;7;4;16;3;12;12;6;4;8;7;3;4;8;6;2;141
"31042 PIUI";5;3;6;3;9;3;8;8;4;6;4;7;4;3;1;7;4;-;-;2;-;-;3;90
"31043 DIVINOPOLIS";15;26;14;18;22;26;35;28;23;34;20;18;24;36;6;28;23;11;4;4;9;5;11;440
"31044 FORMIGA";3;7;5;6;9;7;25;24;14;11;15;14;8;19;16;17;17;1;2;1;2;2;2;227
"31045 CAMPO BELO";8;5;1;5;4;9;5;4;2;1;4;1;6;5;5;4;4;1;1;1;3;1;1;81
"31046 OLIVEIRA";9;8;3;5;4;10;11;6;11;6;10;11;10;6;7;4;1;1;1;-;-;4;2;130
"31047 PASSOS";10;9;5;8;2;10;2;6;3;4;8;6;9;5;6;-;4;3;3;1;-;8;4;116
"31048 SAO SEBASTIAO DO PARAISO";7;4;13;8;9;5;5;2;2;3;3;6;5;4;2;3;9;2;4;3;7;3;6;115
"31049 ALFENAS";8;3;11;4;1;6;2;3;3;2;4;1;2;1;3;-;1;1;4;2;4;4;-;70
"31050 VARGINHA";20;7;8;7;7;8;10;10;7;10;20;6;5;4;14;6;4;5;9;4;6;10;3;190
"31051 POCOS DE CALDAS";4;12;16;16;17;25;22;25;8;11;10;14;14;16;3;18;13;8;5;3;8;11;7;286
"31052 POUSO ALEGRE";7;7;4;7;6;2;4;4;9;3;6;6;6;14;6;9;8;7;16;9;14;20;19;193
"31053 SANTA RITA DO SAPUCAI";1;3;-;1;1;1;5;2;1;-;1;1;2;2;2;3;1;-;1;3;1;4;7;43
"31054 SAO LOURENCO";21;1;4;-;1;2;2;-;3;4;1;2;3;-;1;1;3;1;-;-;2;5;3;60
"31055 ANDRELANDIA";2;-;-;1;2;1;-;2;2;2;-;1;-;-;2;-;-;2;1;1;-;6;2;27
"31056 ITAJUBA";2;-;1;2;4;3;-;1;-;3;3;4;1;1;3;1;1;1;1;7;4;5;3;51
"31057 LAVRAS";16;12;4;7;4;2;1;4;4;-;4;6;2;3;3;1;2;2;-;2;2;1;-;82
