"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31024 TRES MARIAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31025 CURVELO";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31026 BOM DESPACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"31027 SETE LAGOAS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31029 PARA DE MINAS";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"31030 BELO HORIZONTE";8;1;4;15;6;2;5;7;11;5;3;8;5;7;9;9;8;10;7;2;1;1;-;134
"31031 ITABIRA";2;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;6
"31032 ITAGUARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31033 OURO PRETO";-;-;-;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"31034 CONSELHEIRO LAFAIETE";3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;6
"31035 GUANHAES";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"31037 GOVERNADOR VALADARES";-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;7
"31038 MANTENA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31039 IPATINGA";1;-;1;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;1;-;-;-;-;8
"31040 CARATINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"31041 AIMORES";-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"31043 DIVINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"31044 FORMIGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3
"31045 CAMPO BELO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;3
"31046 OLIVEIRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"31047 PASSOS";-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;6
"31048 SAO SEBASTIAO DO PARAISO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"31049 ALFENAS";1;1;-;-;-;1;-;-;-;-;-;-;6;1;-;-;-;-;-;1;-;-;-;11
"31050 VARGINHA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;4
